7258733.83 377216.50 154
7258862.55 377212.33 152
7258983.93 377193.56 151
7259108.27 377179.59 151
7259230.09 377151.00 152
7259354.67 377135.00 150
7259479.09 377114.01 149
7259602.21 377098.10 149
7259726.24 377075.71 148
7259849.62 377052.59 148
7259971.97 377032.91 147
7260096.27 377014.96 146
7260219.30 376991.87 146
7260341.78 376980.52 145
7260466.42 376961.95 144
7260590.82 376935.87 143
7260712.61 376916.46 142
7260837.48 376900.08 141
7260959.09 376882.91 141
7261084.34 376860.60 139
7261209.30 376840.12 139
7261332.08 376819.52 137
7261455.16 376802.98 136
7261576.55 376778.91 134
7261701.97 376761.80 132
7261827.17 376747.75 131
7261948.75 376724.47 130
7262070.06 376703.87 128
7262196.13 376686.35 127
7262319.84 376658.51 125
7262442.59 376646.27 124
7262565.67 376629.94 122
7262689.63 376609.06 121
7262813.15 376590.99 120
7262934.91 376568.20 118
7263060.80 376550.63 117
7263183.06 376532.27 115
7263306.12 376510.43 114
7263428.39 376489.49 112
7263552.96 376472.59 111
7263673.90 376442.55 109
7263798.57 376432.00 108
7263923.88 376403.85 106
7264047.45 376391.27 104
7264171.11 376380.25 103
7264294.69 376347.14 101
7264417.39 376336.53 100
7264541.44 376316.04 98
7264664.98 376292.24 97
7264786.38 376272.72 95
7264910.95 376253.41 94
7265036.22 376232.30 93
7265160.81 376220.16 91
7265281.20 376195.34 89
7265404.48 376171.36 88
7265528.58 376153.20 87
7265650.88 376139.86 85
7265777.95 376122.65 83
7265900.74 376099.63 83
7266023.26 376076.50 82
7266147.55 376058.66 79
7266267.93 376038.56 79
7266394.30 376018.40 78
7266514.65 376002.12 77
7266638.47 375976.05 74
7266761.51 375961.33 72
7266887.67 375936.47 71
7267010.80 375915.21 71
7267134.38 375897.22 69
7267254.30 375876.62 68
7267378.75 375862.23 66
7267502.96 375844.90 65
7267628.49 375819.24 63
7267752.51 375807.81 61
7267875.32 375779.38 61
7267999.13 375760.47 59
7268121.86 375742.65 57
7268256.97 375724.90 57
7268381.89 375702.75 55
7268504.65 375678.87 54
7268628.23 375662.58 51
7268751.36 375647.40 49
7268876.28 375629.59 48
7269000.27 375606.36 45
7269121.39 375587.53 42
7269370.23 375540.11 49
7269492.89 375524.20 50
7269616.65 375500.89 46
7269738.00 375481.21 39
7269863.79 375464.04 38
7269986.08 375448.78 42
7270112.36 375427.08 44
7270233.79 375414.35 42
7270358.91 375390.55 39
7270479.44 375372.89 37
7270606.48 375348.71 34
7270727.82 375334.94 32
7270850.44 375317.54 37
7270976.06 375295.43 34
7271096.74 375274.86 32
7271222.14 375253.63 31
7271346.25 375232.09 29
7271466.89 375213.17 28
7271594.53 375198.78 29
7271715.65 375172.13 27
